"","Tree_ID","Site_ID","Site_name","Tree_rep","Date_sampled","Date_cultured_slants","Projection","Elevation_ft","DBH_cm","Note","isolation_freq","geometry","lon","lat"
"14","S1T1-B","S1B","Balboa and 27th",1,"2017-08-26","2017-08-28","UTM 10S",221,13.6,"","39/100",c(-122.486917597418, 37.776151767028),-122.486917597418,37.776151767028
"15","S1T2-B","S1B","Balboa and 27th",2,"2017-08-26","2017-08-28","UTM 10S",221,8.8,"","42/100",c(-122.486917597418, 37.776151767028),-122.486917597418,37.776151767028
"16","S1T3-B","S1B","Balboa and 27th",3,"2017-08-26","2017-08-28","UTM 10S",211,14,"","38/100",c(-122.486712210693, 37.7762950829803),-122.486712210693,37.7762950829803
"17","S1T4-B","S1B","Balboa and 27th",4,"2017-08-26","2017-08-28","UTM 10S",211,13.3,"","50/98",c(-122.486882411158, 37.7763138505577),-122.486882411158,37.7763138505577
"18","S1T5-B","S1B","Balboa and 27th",5,"2017-08-26","2017-08-28","UTM 10S",211,16.1,"","50/91",c(-122.486882411158, 37.7763138505577),-122.486882411158,37.7763138505577
"19","S2T1-B","S2B","Montgomery and Washington",1,"2017-08-26","2017-08-27","UTM 10S",102,22,"elevation from Google maps","27/140",c(-122.026005529906, 36.9729965014326),-122.4023,37.7948
"20","S2T2-B","S2B","Montgomery and Washington",2,"2017-08-26","2017-08-27","UTM 10S",102,25.2,"elevation from Google maps","30/140",c(-122.026005529906, 36.9729965014326),-122.4023,37.7948
"21","S2T3-B","S2B","Montgomery and Washington",3,"2017-08-26","2017-08-27","UTM 10S",85,28,"elevation from Google maps","14/140",c(-122.026005529906, 36.9729965014326),-122.4023,37.7948
"22","S2T4-B","S2B","Montgomery and Washington",4,"2017-08-26","2017-08-27","UTM 10S",85,29.5,"elevation from Google maps","49/140",c(-121.912613250755, 44.3311776760518),-122.4023,37.7948
"23","S2T5-B","S2B","Montgomery and Washington",5,"2017-08-26","2017-08-27","UTM 10S",95,27.8,"elevation from Google maps","29/140",c(-122.026005529906, 36.9729965014326),-122.4023,37.7948
"24","S3T1-B","S3B","Burlwood and Los Palmos",1,"2017-08-26","2017-08-27","UTM 10S",607,36.8,"","80/101",c(-122.455220624757, 37.7349364597267),-122.455220624757,37.7349364597267
"25","S3T2-B","S3B","Burlwood and Los Palmos",2,"2017-08-26","2017-08-27","UTM 10S",596,30.8,"","65/100",c(-122.454902797149, 37.7349440036361),-122.454902797149,37.7349440036361
"26","S3T3-B","S3B","Burlwood and Los Palmos",3,"2017-08-26","2017-08-27","UTM 10S",608,46.4,"","76/101",c(-122.454970888911, 37.7349443184916),-122.454970888911,37.7349443184916
"27","S3T4-B","S3B","Burlwood and Los Palmos",4,"2017-08-26","2017-08-27","UTM 10S",608,35.5,"","72/101",c(-122.454822497601, 37.7350608039259),-122.454822497601,37.7350608039259
"28","S3T5-B","S3B","Burlwood and Los Palmos",5,"2017-08-26","2017-08-27","UTM 10S",608,40.9,"","84/100",c(-122.454822497601, 37.7350608039259),-122.454822497601,37.7350608039259
"29","S4T1-B","S4B","Cargo Way and Jennings",1,"2017-08-26","2017-08-27","UTM 10S",21,61.8,"","62/100",c(-122.377176034608, 37.7400659923094),-122.377176034608,37.7400659923094
"30","S4T2-B","S4B","Cargo Way and Jennings",2,"2017-08-26","2017-08-27","UTM 10S",21,48.4,"","53/100",c(-122.377152580922, 37.74015600002),-122.377152580922,37.74015600002
"31","S4T3-B","S4B","Cargo Way and Jennings",3,"2017-08-26","2017-08-27","UTM 10S",21,24,"","16/100",c(-122.377152580922, 37.74015600002),-122.377152580922,37.74015600002
"32","S4T4-B","S4B","Cargo Way and Jennings",4,"2017-08-26","2017-08-27","UTM 10S",21,33.7,"several dead areas","41/100",c(-122.377288394597, 37.740201783423),-122.377288394597,37.740201783423
"33","S4T5-B","S4B","Cargo Way and Jennings",5,"2017-08-26","2017-08-27","UTM 10S",22,28,"","9/100",c(-122.377443736683, 37.7406262226917),-122.377443736683,37.7406262226917
"34","S5T1-B","S5B","Alemary and Putnam",1,"2017-08-26","2017-08-27","UTM 10S",29,28.7,"flowering & lots of dead branches","34/100",c(-122.409499440276, 37.7358699759761),-122.409499440276,37.7358699759761
"35","S5T2-B","S5B","Alemary and Putnam",2,"2017-08-26","2017-08-27","UTM 10S",29,21.4,"","70/99",c(-122.409590873879, 37.7357893153204),-122.409590873879,37.7357893153204
"36","S5T3-B","S5B","Alemary and Putnam",3,"2017-08-26","2017-08-27","UTM 10S",29,22.2,"","49/99",c(-122.409797010165, 37.7355560048233),-122.409797010165,37.7355560048233
"37","S5T4-B","S5B","Alemary and Putnam",4,"2017-08-26","2017-08-27","UTM 10S",29,15.4,"","65/100",c(-122.409990294534, 37.7355119065114),-122.409990294534,37.7355119065114
"38","S5T5-B","S5B","Alemary and Putnam",5,"2017-08-26","2017-08-27","UTM 10S",30,17.9,"","43/100",c(-122.409990294534, 37.7355119065114),-122.409990294534,37.7355119065114
"39","S6T1-B","S6B","Kirkham and Great Highway",1,"2017-08-26","2017-08-28","UTM 10S",42,13,"elevation from Google maps","48/99",c(-122.509372995369, 37.6944253695824),-122.509372995369,37.6944253695824
"40","S6T2-B","S6B","Kirkham and Great Highway",2,"2017-08-26","2017-08-28","UTM 10S",42,20.1,"elevation from Google maps","38/100",c(-122.508910435117, 37.7576332722484),-122.508910435117,37.7576332722484
"41","S6T3-B","S6B","Kirkham and Great Highway",3,"2017-08-26","2017-08-28","UTM 10S",42,22,"lots of rust & dead branches; elevation from Google maps","50/101",c(-122.508910435117, 37.7576332722484),-122.508910435117,37.7576332722484
"42","S6T4-B","S6B","Kirkham and Great Highway",4,"2017-08-26","2017-08-28","UTM 10S",49,21.5,"elevation from Google maps","35/100",c(-122.508910435117, 37.7576332722484),-122.508910435117,37.7576332722484
"43","S6T5-B","S6B","Kirkham and Great Highway",5,"2017-08-26","2017-08-28","UTM 10S",46,26.5,"elevation from Google maps","28/99",c(-122.508910435117, 37.7576332722484),-122.508910435117,37.7576332722484
